Geocoordinates,ZipCode,Neighborhood
"40.69425403,-73.94626915",11206,Bedford-Stuyvesant
"40.739445,-73.97680600000001",10016,Kips Bay
"40.734232,-73.986923",10003,Gramercy Park
"40.770513,-73.988038",10019,Lincoln Square
"40.72966729392978,-73.98067966103555",10009,Alphabet City
"40.76663814,-73.95348296",10021,Lenox Hill
"40.6740886,-73.9787282",11215,Park Slope
"40.707873,-74.00166999999999",10038,Seaport
"40.725570000000005,-73.94434",11222,Greenpoint
"40.7160751,-73.95202900000001",11211,Williamsburg
"40.802692,-73.96295",10025,Morningside Heights
"40.768692,-73.9249574",11102,Astoria
"40.78414472,-73.98362492",10024,Upper West Side
"40.7767,-73.927631",11102,Ditmars Steinway
"40.715337899999994,-74.01658354",10282,Battery Park City
"40.72362738,-73.99949601",10012,SoHo
"40.7580583,-73.92427509999999",11106,Astoria
"40.7781314,-73.96069399",10028,Upper East Side
"40.7829391,-73.9786517",10024,Upper West Side
"40.75797322,-73.96603308",10022,Midtown East
"40.77536905,-73.94803392",10028,Yorkville
"40.711065999999995,-74.009447",10007,Financial District
"40.777455200000006,-73.9225403",11102,Ditmars Steinway
"40.797470000000004,-73.93504",10035,East Harlem
"40.730563000000004,-73.973984",10009,Midtown Manhattan
"40.809495347779475,-73.94776493310928",10027,Central Harlem
"40.720873600000004,-73.98085795",10009,Alphabet City
"40.71910537,-73.99973337",10013,Little Italy
"40.71450451,-74.00562789",10007,Civic Center
"40.7701477,-73.9120938",11105,Ditmars Steinway
"40.7919557,-73.968087",10025,Upper West Side
"40.754876,-73.934326",11101,Dutch Kills
"40.70862144,-74.00722156",10038,Financial District
"40.74436328706688,-73.95587325096129",11101,Hunters Point
"40.773763,-73.96222088",10021,Lenox Hill
"40.756913,-73.921631",11101,Astoria
"40.71219906,-73.97948148",10002,Lower East Side
"40.75724567911726,-73.97805914282799",10017,Midtown East
"40.663140000000006,-73.96056949999999",11225,Little Caribbean
"40.735640000000004,-73.95866",11222,Greenpoint
"40.7779453,-73.94604100000001",10128,Yorkville
"40.73827428,-73.98751968",10010,Gramercy Park
"40.70834698,-74.01713445",10280,Battery Park City
"40.68488,-73.96304",11238,Clinton Hill
"40.6902375,-73.99203074",11201,Boerum Hill
"40.8006721,-73.9349",10035,East Harlem
"40.72325,-73.94308000000001",11222,Greenpoint
"40.70706456,-74.00731853",10038,Financial District
"40.751581,-73.97791",10168,Murray Hill
"40.754120810779256,-73.98025184869765",10173,Midtown East
"40.6772744,-73.98282002",11215,Park Slope
"40.7546011026,-73.971878855",10017,Midtown East
"40.806979999999996,-73.94174699999999",10035,East Harlem
"40.777553742988864,-73.95512759685515",10028,Upper East Side
"40.768008893059466,-73.96845281124116",10065,Lenox Hill
"40.752165280621966,-73.97992193698882",10017,Midtown South
"40.6851532,-73.94111",11221,Bedford-Stuyvesant
"40.71334184275907,-74.00935515761375",10007,Tribeca
"40.7921,-73.9739",10025,Upper West Side
"40.76712840349542,-73.96224617958069",10065,Lenox Hill
"40.70140317257725,-73.98672670125961",11201,Downtown Brooklyn
"40.78948541553215,-73.9524292945862",10029,East Harlem
"40.732659999999996,-73.95826",11222,Greenpoint
"40.7535992020056,-73.9379560947418",11101,Dutch Kills
"40.80083629999999,-73.9664492472",10025,Bloomingdale
"40.71907891179564,-73.94223690032959",11222,Williamsburg
"40.79541210000001,-73.9441232",10029,East Harlem
"40.804213,-73.96699104",10025,Bloomingdale
"40.75500254,-73.98014437",10036,Midtown South
"40.69573398,-73.97129668",11205,Fort Greene
"40.77565541,-73.95068615",10028,Yorkville
"40.71117416,-74.00016545",10038,Two Bridges
"40.73232194,-73.9550858",11222,Greenpoint
"40.7739825,-73.93091340000001",11102,Astoria
"40.7713615,-73.9246145",11102,Astoria
"40.71929301,-73.94500379",11222,Williamsburg
"40.70569254,-74.01677685",10004,Battery Park City
"40.72146256229816,-73.94800901412964",11222,Greenpoint
"40.75206862,-73.96784384",10017,Midtown East
"40.680356084043396,-73.94767910242079",11216,Bedford-Stuyvesant
"40.72311651,-73.95212324",11222,Williamsburg
"40.71117444,-73.99682619",10038,Two Bridges
"40.6900815,-73.94791500000001",11216,Bedford-Stuyvesant
"40.671197799999995,-73.97484126",11215,Park Slope
"40.677774799999995,-74.0094613",11231,Red Hook
"40.666287,-73.98895053",11215,Park Slope
"40.77518615,-73.94446054",10028,Yorkville
"40.70224,-73.982578",11201,Downtown Brooklyn
"40.79456629999999,-73.9362541",10029,East Harlem
"40.69766564,-73.98476437",11201,Bridge Plaza
"40.678045000000004,-73.962408",11238,Crown Heights
"40.69072549,-73.95133465",11205,Bedford-Stuyvesant
"40.6769694,-73.96579",11238,Prospect Heights
"40.6630619,-73.95387459999999",11225,Prospect Lefferts Gardens
"40.7987859,-73.9523",10026,South Harlem
"40.7485,-73.941275",11101,Hunters Point
"40.6827549,-73.98258555",11217,Boerum Hill
"40.7699426,-73.96060712",10021,Lenox Hill
"40.6783563,-74.00014502",11231,Carroll Gardens
"40.78499979,-73.97283406",10024,Upper West Side
"40.75172632,-73.98753523",10018,Garment District
"40.69957608,-73.94708417",11206,Bedford-Stuyvesant
"40.70877084,-73.95095259",11211,Southside
"40.69363137,-73.96223558",11205,Clinton Hill
"40.666563000000004,-73.95674100000001",11225,Crown Heights
"40.7682,-73.9322662",11106,Astoria
"40.670483600000004,-73.98208968",11215,Park Slope
"40.71816969454208,-73.95520135760306",11211,Williamsburg
"40.686371,-73.99383324",11201,Boerum Hill
"40.7882213,-73.97041561",10024,Upper West Side
"40.666318100000005,-73.9854617",11215,Park Slope
"40.795,-73.9645",10025,Manhattan Valley
"40.6705135,-73.98876585",11215,Gowanus
"40.67909799721684,-73.98765474557877",11215,Gowanus
"40.6849894,-73.99440329",11231,Carroll Gardens
"40.7647,-73.9240312",11106,Astoria
"40.74966,-73.9521",11101,Hunters Point
"40.7552433,-73.94856779999999",11101,Dutch Kills
"40.790254173304184,-73.97718340158461",10024,Upper West Side
"40.71915571696044,-73.94885390996933",11222,Williamsburg
"40.71406667,-73.99293911",10002,Chinatown
"40.7997568,-73.9621128676",10025,Manhattan Valley
"40.77163851,-73.98261428",10023,Lincoln Square
"40.7729,-73.91614200000001",11105,Ditmars Steinway
"40.75763227739443,-73.9693057537079",10022,Midtown East
"40.676519799999994,-73.9596082",11238,Crown Heights
"40.805159,-73.95469200000001",10026,South Harlem
"40.78839,-73.9747",10024,Upper West Side
"40.7149787,-74.013012",10007,Tribeca
"40.71076228,-73.99400398",10002,Two Bridges
"40.746745000000004,-74.007756",10011,Chelsea
"40.71036854235229,-73.94705951213838",11206,Southside
"40.76087502,-74.00277668",10018,Midtown Manhattan
"40.6809591,-73.99905709",11231,Carroll Gardens
"40.77677702,-73.95900970000001",10028,Upper East Side
